state,June-22
Alabama,2.0
Arizona,3.0
Arkansas,5.0
California,52.0
Colorado,5.0
Connecticut,1.0
Delaware,5.0
District of Columbia,6.0
Florida,162.0
Georgia,25.0
Hawaii,10.0
Illinois,16.0
Indiana,10.0
Iowa,7.0
Kansas,2.0
Kentucky,6.0
Louisiana,7.0
Maine,6.0
Maryland,26.0
Massachusetts,28.0
Michigan,9.0
Minnesota,19.0
Mississippi,3.0
Missouri,5.0
Montana,1.0
Nebraska,2.0
Nevada,7.0
New Hampshire,4.0
New Jersey,17.0
New Mexico,3.0
New York,198.0
North Carolina,15.0
Ohio,14.0
Oklahoma,6.0
Oregon,7.0
Pennsylvania,24.0
Rhode Island,11.0
South Carolina,1.0
Tennessee,5.0
Texas,42.0
Utah,2.0
Vermont,1.0
Virginia,27.0
Washington,5.0
West Virginia,6.0
Wisconsin,2.0
,
American Samoa,29.0
Puerto Rico,1809.0
US Virgin Islands,22.0
